
Nr.;Datum;Titel der Vorlage;Ergebnis;Beteiligung;Volk: Ja%;Stände: Ja
484;02.12.2001;Volksinitiative «für eine Kapitalgewinnsteuer»;Abgelehnt;37.8%;34.1%;0 0/2
483;02.12.2001;Volksinitiative «Solidarität schafft Sicherheit: Für einen freiwilligen zivilen Friedensdienst (ZFD)»;Abgelehnt;37.9%;23.2%;0 0/2
482;02.12.2001;Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»;Abgelehnt;37.9%;21.9%;0 0/2
481;02.12.2001;Volksinitiative «für eine gesicherte AHV - Energie statt Arbeit besteuern!»;Abgelehnt;37.8%;22.9%;0 0/2
480;02.12.2001;Bundesbeschluss über eine Schuldenbremse;Angenommen;37.8%;84.7%;20 6/2
479;10.06.2001;Bundesbeschluss über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern;Angenommen;42.0%;64.2%;20 6/2
478;10.06.2001;Bundesgesetz über die Armee und die Militärverwaltung (Ausbildungszusammenarbeit);Angenommen;42.5%;51.1%;.
477;10.06.2001;Bundesgesetz über die Armee und die Militärverwaltung (Bewaffnung);Angenommen;42.5%;51.0%;.
476;04.03.2001;Volksinitiative «für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)»;Abgelehnt;55.8%;20.3%;0 0/2
475;04.03.2001;Volksinitiative «für tiefere Arzneimittelpreise»;Abgelehnt;55.7%;30.9%;0 0/2
474;04.03.2001;Volksinitiative «Ja zu Europa!»;Abgelehnt;55.8%;23.2%;0 0/2
473;26.11.2000;Bundespersonalgesetz;Angenommen;41.5%;66.8%;.
472;26.11.2000;Volksinitiative «für tiefere Spitalkosten»;Abgelehnt;41.7%;17.9%;0 0/2
471;26.11.2000;Volksinitiative «Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze»;Abgelehnt;41.7%;37.6%;4 0/2
470;26.11.2000;Volksinitiative «für ein flexibles Rentenalter ab 62 für Frau und Mann»;Abgelehnt;41.7%;46.0%;7 0/2
469;26.11.2000;Volksinitiative «für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen»;Abgelehnt;41.7%;39.5%;6 0/2
468;24.09.2000;Volksinitiative «Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag»;Abgelehnt;44.8%;34.1%;0 0/2
467;24.09.2000;Volksinitiative «für eine Regelung der Zuwanderung»;Abgelehnt;45.3%;36.2%;0 0/2
466;24.09.2000;Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt;Abgelehnt;44.9%;44.5%;2 1/2
465.2;24.09.2000;Verfassungsartikel über eine Förderabgabe für erneuerbare Energien;Abgelehnt;44.7%;45.3%;4 1/2
465.1;24.09.2000;Volksinitiative «für einen Solarrappen»;Abgelehnt;44.7%;31.3%;0 0/2
464;21.05.2000;Bundesbeschluss über die Genehmigung der sektoriellen Abkommen zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft andererseits;Angenommen;48.3%;67.2%;.
463;12.03.2000;Volksinitiative «für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)»;Abgelehnt;42.4%;21.3%;0 0/2
462;12.03.2000;Volksinitiative «zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung [FMF])»;Abgelehnt;42.2%;28.2%;0 0/2
461;12.03.2000;Volksinitiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)»;Abgelehnt;42.2%;18.0%;0 0/2
460;12.03.2000;Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»;Abgelehnt;42.1%;30.0%;0 0/2
459;12.03.2000;Bundesbeschluss über die Justizreform;Angenommen;41.9%;86.4%;20 6/2
458;13.06.1999;Bundesgesetz über die Mutterschaftsversicherung;Abgelehnt;45.9%;39.0%;.
457;13.06.1999;Bundesgesetz über die Invalidenversicherung;Abgelehnt;45.6%;30.3%;.
456;13.06.1999;Bundesbeschluss über die ärztliche Verschreibung von Heroin;Angenommen;45.7%;54.4%;.
455;13.06.1999;Bundesbeschluss über dringliche Massnahmen im Asyl- und Ausländerbereich;Angenommen;45.6%;70.8%;.
454;13.06.1999;Asylgesetz;Angenommen;45.6%;70.6%;.
453;18.04.1999;Bundesbeschluss über eine neue Bundesverfassung;Angenommen;35.9%;59.2%;12 2/2
452;07.02.1999;Bundesgesetz über die Raumplanung;Angenommen;38.0%;55.9%;.
451;07.02.1999;Volksinitiative «Wohneigentum für alle»;Abgelehnt;38.2%;41.3%;3 0/2
450;07.02.1999;Bundesbeschluss betreffend die Verfassungsbestimmung über die Transplantationsmedizin;Angenommen;38.0%;87.8%;20 6/2
449;07.02.1999;Bundesbeschluss über die Änderung der Voraussetzung für die Wählbarkeit in den Bundesrat;Angenommen;38.0%;74.7%;18 6/2
448;29.11.1998;Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel;Angenommen;38.1%;63.4%;.
447;29.11.1998;Volksinitiative «für eine vernünftige Drogenpolitik»;Abgelehnt;38.4%;26.0%;0 0/2
446;29.11.1998;Bundesbeschluss über einen befristet geltenden, neuen Getreideartikel;Angenommen;38.0%;79.4%;20 6/2
445;29.11.1998;Bundesbeschluss über Bau und Finanzierung von Infrastrukturvorhaben des öffentlichen Verkehrs;Angenommen;38.3%;63.5%;19 3/2
444;27.09.1998;Volksinitiative «für die 10. AHV-Revision ohne Erhöhung des Rentenalters»;Abgelehnt;51.6%;41.5%;5 0/2
443;27.09.1998;Volksinitiative «für preisgünstige Nahrungsmittel und ökologische Bauernhöfe»;Abgelehnt;51.6%;23.0%;0 0/2
442;27.09.1998;Bundesgesetz über eine leistungsabhängige Schwerverkehrsabgabe;Angenommen;51.8%;57.2%;.
441;07.06.1998;Volksinitiative «S.o.S. - Schweiz ohne Schnüffelpolizei»;Abgelehnt;41.0%;24.6%;0 0/2
440;07.06.1998;Volksinitiative «zum Schutz von Leben und Umwelt vor Genmanipulation (Gen-Schutz-Initiative)»;Abgelehnt;41.3%;33.3%;0 0/2
439;07.06.1998;Bundesbeschluss über Massnahmen zum Haushaltausgleich;Angenommen;40.9%;70.7%;20 6/2
438;28.09.1997;Volksinitiative «Jugend ohne Drogen»;Abgelehnt;40.8%;29.3%;0 0/2
437;28.09.1997;Bundesbeschluss über die Finanzierung der Arbeitslosenversicherung;Abgelehnt;40.6%;49.2%;.
436;08.06.1997;Bundesbeschluss über die Aufhebung des Pulverregals;Angenommen;35.3%;82.2%;20 6/2
435;08.06.1997;Volksinitiative «für ein Verbot der Kriegsmaterialausfuhr»;Abgelehnt;35.5%;22.5%;0 0/2
434;08.06.1997;Volksinitiative «EU-Beitrittsverhandlungen vors Volk!»;Abgelehnt;35.4%;25.9%;0 0/2
433;01.12.1996;Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel;Abgelehnt;46.7%;33.0%;.
432;01.12.1996;Volksinitiative «gegen die illegale Einwanderung»;Abgelehnt;46.7%;46.3%;10 2/2
431;09.06.1996;Regierungs- und Verwaltungsorganisationsgesetz (RVOG);Abgelehnt;31.3%;39.4%;.
430;09.06.1996;Gegenentwurf der Bundesversammlung zur Volksinitiative «Bauern und Konsumenten - für eine naturnahe Landwirtschaft»;Angenommen;31.4%;77.6%;20 6/2
429;10.03.1996;Bundesbeschluss über die Aufhebung der Bundesbeiträge an Bahnhofparkplatzanlagen;Angenommen;31.0%;53.9%;11 6/2
428;10.03.1996;Bundesbeschluss über die Aufhebung der Pflicht zum Ankauf von Brennapparaten und zur Uebernahme von Branntwein;Angenommen;30.9%;80.8%;20 6/2
427;10.03.1996;Bundesbeschluss über die Aufhebung der kantonalen Zuständigkeit im Bereich der persönlichen Ausrüstung der Armeeangehörigen;Abgelehnt;31.0%;43.7%;2 2/2
426;10.03.1996;Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura;Angenommen;31.0%;91.6%;20 6/2
425;10.03.1996;Bundesbeschluss über die Revision des Sprachenartikels in der Bundesverfassung (Art. 116 BV);Angenommen;31.0%;76.2%;20 6/2
424;25.06.1995;Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland;Abgelehnt;40.3%;46.4%;.
423;25.06.1995;Volksinitiative «zum Ausbau von AHV und IV»;Abgelehnt;40.3%;27.6%;0 0/2
422;25.06.1995;Bundesgesetz über die Alters- und Hinterlassenenversicherung;Angenommen;40.4%;60.7%;.
421;12.03.1995;Bundesbeschluss über eine Ausgabenbremse;Angenommen;37.9%;83.4%;20 6/2
420;12.03.1995;Landwirtschaftsgesetz;Abgelehnt;37.9%;33.6%;.
419;12.03.1995;Milchwirtschaftsbeschluss 1988 (MWB 1988);Abgelehnt;37.9%;36.5%;.
418;12.03.1995;Gegenentwurf der Bundesversammlung zur Volksinitiative «für eine umweltgerechte und leistungsfähige bäuerliche Landwirtschaft»;Abgelehnt;37.9%;49.1%;8 2/2
417;04.12.1994;Bundesgesetz über Zwangsmassnahmen im Ausländerrecht;Angenommen;44.0%;72.9%;.
416;04.12.1994;Volksinitiative «für eine gesunde Krankenversicherung»;Abgelehnt;44.0%;23.4%;0 0/2
415;04.12.1994;Bundesgesetz über die Krankenversicherung (KVG);Angenommen;44.0%;51.8%;.
414;25.09.1994;Schweizerisches Strafgesetzbuch Militärstrafgesetz;Angenommen;45.9%;54.6%;.
413;25.09.1994;Bundesbeschluss über die Aufhebung der Verbilligung von inländischem Brotgetreide aus Zolleinnahmen;Angenommen;45.5%;64.6%;20 6/2
412;12.06.1994;Bundesgesetz über schweizerische Truppen für friedenserhaltende Operationen (BTFO);Abgelehnt;46.8%;42.8%;.
411;12.06.1994;Bundesbeschluss über die Revision der Bürgerrechtsregelung in der Bundesverfassung (Erleichterte Einbürgerung für junge Ausländer);Abgelehnt;46.8%;52.8%;9 2/2
410;12.06.1994;Bundesbeschluss über einen Kulturförderungsartikel in der Bundesverfassung (Art. 27septies BV);Abgelehnt;46.6%;51.0%;10 2/2
409;20.02.1994;Luftfahrtgesetz;Angenommen;40.6%;61.1%;.
408;20.02.1994;Volksinitiative «zum Schutze des Alpengebietes vor dem Transitverkehr»;Angenommen;40.8%;51.9%;13 6/2
407;20.02.1994;Bundesbeschluss über die Einführung einer leistungs- oder verbrauchsabhängigen Schwerverkehrsabgabe;Angenommen;40.7%;67.1%;18 6/2
406;20.02.1994;Bundesbeschluss über die Weiterführung der Schwerverkehrsabgabe;Angenommen;40.8%;72.2%;20 6/2
405;20.02.1994;Bundesbeschluss über die Weiterführung der Nationalstrassenabgabe;Angenommen;40.8%;68.5%;18 6/2
404;28.11.1993;Volksinitiative «zur Verminderung der Tabakprobleme»;Abgelehnt;45.5%;25.5%;0 0/2
403;28.11.1993;Volksinitiative «zur Verminderung der Alkoholprobleme»;Abgelehnt;45.5%;25.3%;0 0/2
402;28.11.1993;Bundesbeschluss über besondere Verbrauchssteuern;Angenommen;45.4%;60.6%;17 6/2
401;28.11.1993;Bundesbeschluss über Massnahmen zur Erhaltung der Sozialversicherung;Angenommen;45.4%;62.6%;19 6/2
400;28.11.1993;Bundesbeschluss über einen Beitrag zur Gesundung der Bundesfinanzen;Angenommen;45.4%;57.7%;15 6/2
399;28.11.1993;Bundesbeschluss über die Finanzordnung;Angenommen;45.4%;66.7%;19 6/2
398;26.09.1993;Bundesbeschluss über Massnahmen in der Arbeitslosenversicherung;Angenommen;39.7%;70.4%;.
397;26.09.1993;Bundesbeschluss über befristete Massnahmen gegen die Kostensteigerung in der Krankenversicherung;Angenommen;39.8%;80.5%;.
396;26.09.1993;Volksinitiative «für einen arbeitsfreien Bundesfeiertag» (1. August-Initiative);Angenommen;39.9%;83.8%;20 6/2
395;26.09.1993;Bundesbeschluss über den Anschluss des bernischen Amtsbezirks Laufen an den Kanton Basel-Landschaft;Angenommen;39.5%;75.2%;20 6/2
394;26.09.1993;Bundesbeschluss gegen den Waffenmissbrauch;Angenommen;39.8%;86.3%;20 6/2
393;06.06.1993;Volksinitiative «für eine Schweiz ohne neue Kampfflugzeuge»;Abgelehnt;55.6%;42.8%;3 2/2
392;06.06.1993;Volksinitiative «40 Waffenplätze sind genug - Umweltschutz auch beim Militär»;Abgelehnt;55.6%;44.7%;6 2/2
391;07.03.1993;Volksinitiative «zur Abschaffung der Tierversuche»;Abgelehnt;51.2%;27.8%;0 0/2
390;07.03.1993;Bundesbeschluss über die Aufhebung des Spielbankenverbots;Angenommen;51.2%;72.5%;20 6/2
389;07.03.1993;Bundesgesetz über die Erhöhung des Treibstoffzolles;Angenommen;51.3%;54.5%;.
388;06.12.1992;Bundesbeschluss über den Europäischen Wirtschaftsraum (EWR);Abgelehnt;78.7%;49.7%;6 2/2
387;27.09.1992;Bundesgesetz über das bäuerliche Bodenrecht;Angenommen;45.7%;53.6%;.
386;27.09.1992;Bundesgesetz über die Stempelabgaben;Angenommen;45.7%;61.5%;.
385;27.09.1992;Bundesgesetz über die Beiträge an die Infrastrukturkosten der Fraktionen und der Mitglieder der eidgenössischen Räte (Infrastrukturgesetz);Abgelehnt;45.5%;30.6%;.
384;27.09.1992;Bundesgesetz über die Bezüge der Mitglieder der eidgenössischen Räte und über die Beiträge an die Fraktionen (Entschädigungsgesetz);Abgelehnt;45.6%;27.6%;.
383;27.09.1992;Bundesgesetz über den Geschäftsverkehr der Bundesversammlung sowie über die Form, die Bekanntmachung und das Inkrafttreten ihrer Erlasse (Geschäftsverkehrsgesetz);Angenommen;45.4%;58.0%;.
382;27.09.1992;Bundesbeschluss über den Bau der schweizerischen Eisenbahn-Alpentransversale (Alpentransit-Beschluss);Angenommen;45.9%;63.6%;.
381;17.05.1992;Schweizerisches Strafgesetzbuch, Militärstrafgesetz (Strafbare Handlungen gegen die sexuelle Integrität);Angenommen;39.1%;73.1%;.
380;17.05.1992;Bundesbeschluss über die Einführung eines Zivildienstes für Dienstverweigerer;Angenommen;39.2%;82.5%;20 6/2
379;17.05.1992;Gegenentwurf der Bundesversammlung zur Volksinitiative «gegen Missbräuche der Fortpflanzungs- und Gentechnologie beim Menschen»;Angenommen;39.2%;73.8%;19 6/2
378;17.05.1992;Volksinitiative «zur Rettung unserer Gewässer»;Abgelehnt;39.2%;37.1%;0 0/2
377;17.05.1992;Bundesgesetz über den Schutz der Gewässer (Gewässerschutzgesetz, GSchG);Angenommen;39.2%;66.1%;.
376;17.05.1992;Bundesgesetz über die Mitwirkung der Schweiz an den Institutionen von Bretton Woods;Angenommen;38.8%;56.4%;.
375;17.05.1992;Bundesbeschluss über den Beitritt der Schweiz zu den Institutionen von Bretton Woods;Angenommen;38.8%;55.8%;.
374;16.02.1992;Volksinitiative «zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch!)»;Abgelehnt;44.5%;43.6%;3 1/2
373;16.02.1992;Volksinitiative «für eine finanziell tragbare Krankenversicherung (Krankenkasseninitiative)»;Abgelehnt;44.4%;39.3%;1 0/2
372;02.06.1991;Militärstrafgesetz (MStG);Angenommen;33.3%;55.7%;.
371;02.06.1991;Bundesbeschluss über die Neuordnung der Bundesfinanzen;Abgelehnt;33.3%;45.6%;2 1/2
370;03.03.1991;Volksinitiative «zur Förderung des öffentlichen Verkehrs»;Abgelehnt;31.2%;37.1%;1 1/2
369;03.03.1991;Bundesbeschluss über die Herabsetzung des Stimm- und Wahlrechtsalters auf 18 Jahre;Angenommen;31.3%;72.7%;20 6/2
368;23.09.1990;Bundesgesetz über den Strassenverkehr;Angenommen;40.3%;52.8%;.
367;23.09.1990;Bundesbeschluss über den Energieartikel in der Bundesverfassung;Angenommen;40.3%;71.1%;20 6/2
366;23.09.1990;Volksinitiative «Stopp dem Atomkraftwerkbau (Moratorium)»;Angenommen;40.4%;54.5%;17 5/2
